Reward
29.0
14.0
16.0
18.0
20.0
22.0
26.0
19.0
14.0
11.0
10.0
20.0
25.0
14.0
16.0
13.0
17.0
25.0
23.0
17.0
19.0
22.0
17.0
8.0
31.0
19.0
46.0
23.0
9.0
39.0
29.0
40.0
20.0
9.0
30.0
11.0
26.0
17.0
31.0
12.0
43.0
22.0
15.0
40.0
61.0
13.0
14.0
60.0
52.0
21.0
17.0
17.0
16.0
25.0
10.0
9.0
33.0
16.0
19.0
23.0
23.0
20.0
24.0
18.0
44.0
31.0
43.0
95.0
64.0
36.0
17.0
12.0
16.0
33.0
18.0
12.0
38.0
33.0
26.0
30.0
16.0
39.0
25.0
16.0
21.0
11.0
31.0
15.0
10.0
18.0
29.0
46.0
28.0
12.0
22.0
33.0
43.0
34.0
60.0
21.0
11.0
21.0
29.0
89.0
22.0
25.0
19.0
21.0
28.0
32.0
26.0
13.0
39.0
25.0
45.0
42.0
24.0
29.0
13.0
44.0
15.0
34.0
17.0
18.0
18.0
41.0
16.0
45.0
29.0
20.0
29.0
26.0
17.0
15.0
16.0
32.0
28.0
19.0
55.0
50.0
36.0
15.0
28.0
12.0
61.0
17.0
16.0
13.0
25.0
50.0
22.0
15.0
13.0
23.0
11.0
18.0
36.0
36.0
57.0
40.0
36.0
29.0
35.0
45.0
17.0
34.0
23.0
108.0
15.0
20.0
13.0
28.0
77.0
35.0
16.0
41.0
43.0
27.0
30.0
28.0
55.0
19.0
31.0
24.0
55.0
93.0
22.0
27.0
40.0
16.0
27.0
34.0
44.0
19.0
15.0
12.0
28.0
77.0
27.0
21.0
33.0
30.0
43.0
50.0
23.0
31.0
30.0
14.0
81.0
24.0
29.0
53.0
24.0
59.0
27.0
28.0
52.0
23.0
89.0
91.0
22.0
15.0
47.0
30.0
17.0
19.0
32.0
20.0
35.0
54.0
60.0
35.0
48.0
62.0
33.0
59.0
53.0
83.0
50.0
43.0
57.0
67.0
78.0
36.0
12.0
98.0
67.0
63.0
22.0
34.0
94.0
22.0
18.0
16.0
108.0
19.0
20.0
37.0
30.0
21.0
49.0
59.0
32.0
38.0
14.0
41.0
25.0
16.0
52.0
22.0
19.0
70.0
84.0
25.0
53.0
128.0
30.0
36.0
136.0
69.0
33.0
58.0
65.0
44.0
127.0
47.0
45.0
222.0
47.0
22.0
70.0
52.0
66.0
63.0
112.0
28.0
22.0
42.0
172.0
20.0
29.0
70.0
73.0
36.0
39.0
35.0
51.0
130.0
41.0
24.0
160.0
122.0
78.0
119.0
144.0
47.0
51.0
235.0
83.0
50.0
36.0
109.0
77.0
16.0
44.0
49.0
70.0
93.0
119.0
58.0
45.0
119.0
25.0
110.0
73.0
33.0
142.0
49.0
97.0
29.0
54.0
229.0
140.0
135.0
122.0
48.0
267.0
53.0
148.0
17.0
234.0
88.0
27.0
43.0
127.0
54.0
62.0
208.0
45.0
119.0
107.0
205.0
80.0
100.0
224.0
161.0
104.0
187.0
190.0
172.0
162.0
37.0
44.0
25.0
218.0
231.0
166.0
125.0
139.0
56.0
189.0
159.0
147.0
206.0
96.0
152.0
137.0
114.0
202.0
225.0
126.0
265.0
127.0
148.0
222.0
205.0
176.0
141.0
41.0
117.0
205.0
147.0
75.0
56.0
217.0
143.0
247.0
140.0
95.0
176.0
140.0
35.0
105.0
120.0
199.0
158.0
140.0
78.0
113.0
245.0
247.0
176.0
195.0
45.0
238.0
144.0
97.0
135.0
112.0
193.0
236.0
151.0
286.0
432.0
188.0
136.0
160.0
183.0
173.0
247.0
170.0
320.0
192.0
96.0
187.0
346.0
213.0
349.0
265.0
128.0
179.0
216.0
223.0
236.0
201.0
228.0
221.0
272.0
194.0
241.0
257.0
272.0
146.0
52.0
260.0
191.0
133.0
299.0
162.0
130.0
179.0
167.0
280.0
199.0
91.0
268.0
215.0
180.0
178.0
145.0
260.0
308.0
304.0
327.0
110.0
438.0
138.0
143.0
166.0
229.0
207.0
244.0
397.0
226.0
455.0
